meter_id,V,I,P,timestamp,Is_Fraud
m0,126.3691,4.2269,534.145,2026-03-14T18:08:57.366046Z,False
m1,126.449,3.6896,466.5443,2026-03-14T18:08:57.366046Z,False
m2,126.4907,3.4089,431.192,2026-03-14T18:08:57.366046Z,False
m3,126.4473,3.7007,233.9699,2026-03-14T18:08:57.366046Z,True
m4,126.4144,3.9222,495.8226,2026-03-14T18:08:57.366046Z,False
m5,126.3839,4.1272,521.6065,2026-03-14T18:08:57.366046Z,False
m6,126.4543,3.6536,231.0072,2026-03-14T18:08:57.366046Z,True
m7,126.5215,3.2018,405.0935,2026-03-14T18:08:57.366046Z,False
m8,126.4509,3.6768,464.9307,2026-03-14T18:08:57.366046Z,False
m9,126.4213,3.8753,489.9257,2026-03-14T18:08:57.366046Z,False
m10,126.4586,3.6249,458.4039,2026-03-14T18:08:57.366046Z,False
m11,126.3925,4.0696,514.3641,2026-03-14T18:08:57.366046Z,False
m12,126.3164,4.5821,578.7885,2026-03-14T18:08:57.366046Z,False
m13,126.3548,4.3233,546.2722,2026-03-14T18:08:57.366046Z,False
m14,126.424,3.8572,487.6478,2026-03-14T18:08:57.366046Z,False
m15,126.4757,3.5096,443.8779,2026-03-14T18:08:57.366046Z,False
m16,126.4479,3.6968,467.4516,2026-03-14T18:08:57.366046Z,False
m17,126.4334,3.7943,479.7233,2026-03-14T18:08:57.366046Z,False
m18,126.4343,3.788,478.9301,2026-03-14T18:08:57.366046Z,False
m19,126.3971,4.0387,510.4858,2026-03-14T18:08:57.366046Z,False
m20,126.489,3.4203,432.6289,2026-03-14T18:08:57.366046Z,False
m21,126.3374,4.4408,561.0377,2026-03-14T18:08:57.366046Z,False
m22,126.3637,4.2633,538.7318,2026-03-14T18:08:57.366046Z,False
m23,126.4396,3.7527,474.4903,2026-03-14T18:08:57.366046Z,False
m24,126.3311,4.4831,566.3577,2026-03-14T18:08:57.366046Z,False
m25,126.4047,3.9875,504.0373,2026-03-14T18:08:57.366046Z,False
m26,126.4193,3.8894,491.6888,2026-03-14T18:08:57.366046Z,False
m27,126.4188,3.8927,492.1166,2026-03-14T18:08:57.366046Z,False
m28,126.3989,4.0261,508.8895,2026-03-14T18:08:57.366046Z,False
m29,126.4243,3.8553,243.7,2026-03-14T18:08:57.366046Z,True
m30,126.4728,3.529,446.3208,2026-03-14T18:08:57.366046Z,False
m31,126.4595,3.6187,457.6228,2026-03-14T18:08:57.366046Z,False
m32,126.3618,4.2763,540.3625,2026-03-14T18:08:57.366046Z,False
m33,126.4488,3.6904,466.651,2026-03-14T18:08:57.366046Z,False
m34,126.3961,4.0452,511.2945,2026-03-14T18:08:57.366046Z,False
m35,126.3781,4.1667,526.5772,2026-03-14T18:08:57.366046Z,False
m36,126.4353,3.7812,239.038,2026-03-14T18:08:57.366046Z,True
m37,126.4871,3.4333,434.2651,2026-03-14T18:08:57.366046Z,False
m38,126.3982,4.0309,509.5018,2026-03-14T18:08:57.366046Z,False
m39,126.3644,4.2583,538.1007,2026-03-14T18:08:57.366046Z,False
m40,126.3823,4.1379,522.9533,2026-03-14T18:08:57.366046Z,False
m41,126.4767,3.5034,443.1017,2026-03-14T18:08:57.366046Z,False
m42,126.3452,4.3877,554.3682,2026-03-14T18:08:57.366046Z,False
m43,126.4794,3.4849,440.7726,2026-03-14T18:08:57.366046Z,False
m44,126.3699,4.2215,266.7328,2026-03-14T18:08:57.366046Z,True
m45,126.2996,4.6951,592.9834,2026-03-14T18:08:57.366046Z,False
